opportunity_id,opportunity_number,opportunity_title,agency_name,open_date,close_date,opp_status,award_ceiling,estimated_total_program_funding,expected_number_of_awards,team_size_category,team_members,proposed_title,rationale,aims_or_projects,opportunity_url
6c6417e0-a321-48cd-a93d-8dce887d6b55,FOR-HG-25-018,Systematic Characterization of Genomic Variation to Assess Effects of Individual Variants on Genome Function and Phenotype (UM1 Clinical Trials Not Allowed),National Institutes of Health,,,forecasted,,3000000.0,5.0,large,Nadav Brandes; Aravinda Chakravarti; Hakhamanesh Mostafavi; Molly Gale Hammell,Systematic Characterization of Genomic Variation to Assess Effects collaborative plan,"This opportunity supports hypothesis driven work in systematic characterization of genomic variation to assess effects of individual variants on genome function. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Aravinda Chakravarti contributes expertise in contributions to science 1. Hakhamanesh Mostafavi contributes expertise in my lab studies the genetic basis of complex human traits and diseases. Molly Gale Hammell contributes expertise in molly gale hammell is an associate professor in the institute for systems genetics at nyu langone health. Together, the team is positioned to deliver a rigorous plan that advances characterization , individual , systematic while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for systematic characterization of genomic variation to assess effects of individual with input from all team members.
Aim 2: test key mechanisms or drivers in systematic characterization of genomic variation to assess effects of individual using complementary models, assays, and analytical approaches.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=FOR-HG-25-018
a12e4f37-c81c-49a5-9c8d-f572ad5cef8f,21-503,Sustaining Infrastructure for Biological Research,U.S. National Science Foundation,,,posted,,5000000.0,3.0,large,Richard Possemato; Nadav Brandes; Catherine Pei-ju Lu,Sustaining Infrastructure for Biological Research collaborative plan,"This opportunity calls for a shared resource or coordinating effort in sustaining infrastructure for biological research. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Together, the team is positioned to deliver a rigorous plan that advances infrastructure , biological , sustaining while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for sustaining infrastructure for biological research with input from all team members.
Aim 2: build and quality control a shared resource for sustaining infrastructure for biological research, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21503
ba7325bb-1f37-4b10-bfbb-61ecb8528831,24-543,Division of Environmental Biology,U.S. National Science Foundation,,,posted,5000000.0,100000000.0,,large,"Jonas Schluter, PhD; Liat Shenhav, PhD; Hakhamanesh Mostafavi; David Fenyo",Division of Environmental Biology collaborative plan,"This opportunity supports hypothesis driven work in division of environmental biology. Jonas Schluter, PhD contributes expertise in systems microbiology, immunology. Liat Shenhav, PhD contributes expertise in systems microbiology. Hakhamanesh Mostafavi contributes expertise in my lab studies the genetic basis of complex human traits and diseases. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Together, the team is positioned to deliver a rigorous plan that advances environmental , division , biology while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for division of environmental biology with input from all team members.
Aim 2: test key mechanisms or drivers in division of environmental biology using complementary models, assays, and analytical approaches.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24543
4da9bd7f-6bf3-4b54-9a5c-b82ff115a92c,23-578,Infrastructure Innovation for Biological Research,U.S. National Science Foundation,,,posted,800000.0,18000000.0,40.0,large,David Fenyo; Richard Possemato; Drew Jones,Infrastructure Innovation for Biological Research collaborative plan,"This opportunity calls for a shared resource or coordinating effort in infrastructure innovation for biological research. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Drew Jones contributes expertise in the ongoing theme of my work is the invention or adaptation of advanced chromatography and mass spectrometry technology . Together, the team is positioned to deliver a rigorous plan that advances infrastructure , biological , innovation while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for infrastructure innovation for biological research with input from all team members.
Aim 2: build and quality control a shared resource for infrastructure innovation for biological research, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23578
1346db63-0f5a-483b-a8e6-48156ba10da0,23-580,Infrastructure Capacity for Biological Research,U.S. National Science Foundation,,,posted,1200000.0,18000000.0,60.0,large,Richard Possemato; Drew Jones; Nadav Brandes; Michele Pagano,Infrastructure Capacity for Biological Research collaborative plan,"This opportunity calls for a shared resource or coordinating effort in infrastructure capacity for biological research. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Drew Jones contributes expertise in the ongoing theme of my work is the invention or adaptation of advanced chromatography and mass spectrometry technology . Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Michele Pagano contributes expertise in our laboratory is interested in how ubiquitin-mediated proteolysis controls the three key dimensions of cellular life: p. Together, the team is positioned to deliver a rigorous plan that advances infrastructure , biological , capacity while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for infrastructure capacity for biological research with input from all team members.
Aim 2: build and quality control a shared resource for infrastructure capacity for biological research, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23580
ed8489ff-2669-4c34-9322-29d7d0e774ea,PAR-21-321,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),National Institutes of Health,,2026-01-07,posted,1500000.0,,,large,Richard Possemato; Pau Castel; Gregory David,Cancer Center Support Grants for NCI-designated Cancer Centers collaborative plan P30,"This opportunity calls for a shared resource or coordinating effort in cancer center support grants for nci-designated cancer centers. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Pau Castel contributes expertise in the castel laboratory is interested in understanding the molecular mechanisms underlying oncoprotein-mediated transforma. Gregory David contributes expertise in the research conducted in our laboratory centers on the interplay between aging and cancer. Together, the team is positioned to deliver a rigorous plan that advances cancer , designated , centers while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for cancer center support grants for nci-designated cancer centers with input from all team members.
Aim 2: build and quality control a shared resource for cancer center support grants for nci-designated cancer centers, including standardized protocols, data structures, and access pathways.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",http://grants.nih.gov/grants/guide/pa-files/PAR-21-321.html
e0071a8f-bde5-444a-bd22-f6e7bce40345,FOR-HG-25-020,Genomic Variant Interactions With Other Variants Or The Environment (UM1 Clinical Trials Not Allowed),National Institutes of Health,,,forecasted,,10000000.0,5.0,large,Nadav Brandes; Hakhamanesh Mostafavi; Aravinda Chakravarti,Genomic Variant Interactions With Other Variants Or The collaborative plan,"This opportunity supports hypothesis driven work in genomic variant interactions with other variants or the environment. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Hakhamanesh Mostafavi contributes expertise in my lab studies the genetic basis of complex human traits and diseases. Aravinda Chakravarti contributes expertise in contributions to science 1. Together, the team is positioned to deliver a rigorous plan that advances interactions , environment , variants while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for genomic variant interactions with other variants or the environment with input from all team members.
Aim 2: test key mechanisms or drivers in genomic variant interactions with other variants or the environment using complementary models, assays, and analytical approaches.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=FOR-HG-25-020
c223b7bc-1da4-4533-a09f-d35659e6d29b,FOR-HG-25-021,"Computational Modeling and Analysis of the Impact of Genomic Variation on Function (UM1, Clinical Trial Not Allowed)",National Institutes of Health,,,forecasted,,5000000.0,5.0,large,Aravinda Chakravarti; Nadav Brandes; David Fenyo,Computational Modeling and Analysis of the Impact of collaborative plan,"This opportunity supports hypothesis driven work in computational modeling and analysis of the impact of genomic variation on function. Aravinda Chakravarti contributes expertise in contributions to science 1. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Together, the team is positioned to deliver a rigorous plan that advances computational , variation , analysis while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for computational modeling and analysis of the impact of genomic variation with input from all team members.
Aim 2: develop and benchmark a scalable tool or platform for computational modeling and analysis of the impact of genomic variation that leverages the complementary strengths of the team.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=FOR-HG-25-021
d8dad5bf-fb45-4108-b461-3d83e0a5c046,21-544,Long Term Research in Environmental Biology,U.S. National Science Foundation,,,posted,600000.0,6000000.0,,large,"Hakhamanesh Mostafavi; Liat Shenhav, PhD; Jonas Schluter, PhD",Long Term Research in Environmental Biology collaborative plan,"This opportunity supports hypothesis driven work in long term research in environmental biology. Hakhamanesh Mostafavi contributes expertise in my lab studies the genetic basis of complex human traits and diseases. Liat Shenhav, PhD contributes expertise in systems microbiology. Jonas Schluter, PhD contributes expertise in systems microbiology, immunology. Together, the team is positioned to deliver a rigorous plan that advances environmental , research , biology while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for long term research in environmental biology with input from all team members.
Aim 2: test key mechanisms or drivers in long term research in environmental biology using complementary models, assays, and analytical approaches.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21544
5f66747e-3c8a-4920-a9f4-0f398a5c91ce,RFA-IP-26-032,Economic and Modeling Analyses to Support Immunization Policy and Programs,Centers for Disease Control and Prevention - ERA,,,forecasted,750000.0,3750000.0,1.0,large,"Adam J. Ratner, MD; Thomas Wisniewski; Jeffrey N. Weiser, MD; Ramin Herati, MD",Economic and Modeling Analyses to Support Immunization Policy collaborative plan,"This opportunity calls for a shared resource or coordinating effort in economic and modeling analyses to support immunization policy and programs. Adam J. Ratner, MD contributes expertise in bacteriology, translational. Thomas Wisniewski contributes expertise in i am a board certified neurologist and neuropathologist. Jeffrey N. Weiser, MD contributes expertise in bacteriology, immunology. Ramin Herati, MD contributes expertise in human immunology, systems immunology. Together, the team is positioned to deliver a rigorous plan that advances immunization , analyses , economic while meeting Centers for Disease Control and Prevention - ERA expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for economic and modeling analyses to support immunization policy and programs with input from all team members.
Aim 2: build and quality control a shared resource for economic and modeling analyses to support immunization policy and programs, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=RFA-IP-26-032
2a6a95f6-61e3-434f-9ec7-2f615e327b4b,25-509,Emerging Mathematics in Biology,U.S. National Science Foundation,,2026-03-02,posted,,6000000.0,15.0,large,"David Fenyo; Liat Shenhav, PhD; Nadav Brandes",Emerging Mathematics in Biology collaborative plan,"This opportunity supports hypothesis driven work in emerging mathematics in biology. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Liat Shenhav, PhD contributes expertise in systems microbiology. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Together, the team is positioned to deliver a rigorous plan that advances mathematics , emerging , biology while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for emerging mathematics in biology with input from all team members.
Aim 2: test key mechanisms or drivers in emerging mathematics in biology using complementary models, assays, and analytical approaches.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25509
4fa4f79e-d43d-42c9-9269-f219c7bc09df,PAR-25-458,Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional),National Institutes of Health,,,forecasted,,,50.0,large,David Fenyo; Drew Jones; Catherine Pei-ju Lu,Bioengineering Research Grants collaborative plan R01,"This opportunity supports hypothesis driven work in bioengineering research grants. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Drew Jones contributes expertise in the ongoing theme of my work is the invention or adaptation of advanced chromatography and mass spectrometry technology . Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Together, the team is positioned to deliver a rigorous plan that advances bioengineering , research , grants while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for bioengineering research grants with input from all team members.
Aim 2: develop and benchmark a scalable tool or platform for bioengineering research grants that leverages the complementary strengths of the team.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=PAR-25-458
6044773a-6221-44e4-81e9-e61c47d4119a,PAR-26-064,"Specialized Programs of Research Excellence (SPOREs) in Human Cancers for Years 2027, 2028, and 2029 (P50 Clinical Trial Required)",National Institutes of Health,,,forecasted,,25000000.0,12.0,large,"Gregory David; Catherine Pei-ju Lu; Rachel Zwick; Adam J. Ratner, MD",Specialized Programs of Research Excellence in Human Cancers collaborative plan P50,"This opportunity supports hypothesis driven work in specialized programs of research excellence in human cancers for years 2027, 2028, and 2029. Gregory David contributes expertise in the research conducted in our laboratory centers on the interplay between aging and cancer. Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Rachel Zwick contributes expertise in intestinal organoids; intestinal stem cell derived organoids; organoids that recapitulate positional information in the . Adam J. Ratner, MD contributes expertise in bacteriology, translational. Together, the team is positioned to deliver a rigorous plan that advances specialized , excellence , programs while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for specialized programs of research excellence in human cancers for years with input from all team members.
Aim 2: test key mechanisms or drivers in specialized programs of research excellence in human cancers for years using complementary models, assays, and analytical approaches.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=PAR-26-064
a7a1cee7-9140-4e3d-a87f-a1ddb7025eae,RFA-CA-25-032,Cancer Intervention and Surveillance Modeling Network (CISNET) (U01 Clinical Trial Not Allowed),National Institutes of Health,,2026-02-12,posted,1240000.0,9438000.0,8.0,large,"Richard Possemato; Liat Shenhav, PhD; Pau Castel; Robert J. Schneider, PhD",Cancer Intervention and Surveillance Modeling Network collaborative plan U01,"This opportunity calls for a shared resource or coordinating effort in cancer intervention and surveillance modeling network. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Liat Shenhav, PhD contributes expertise in systems microbiology. Pau Castel contributes expertise in the castel laboratory is interested in understanding the molecular mechanisms underlying oncoprotein-mediated transforma. Robert J. Schneider, PhD contributes expertise in rna biology, translation control. Together, the team is positioned to deliver a rigorous plan that advances intervention , surveillance , modeling while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for cancer intervention and surveillance modeling network with input from all team members.
Aim 2: build and quality control a shared resource for cancer intervention and surveillance modeling network, including standardized protocols, data structures, and access pathways.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=RFA-CA-25-032
